id,cycles_old,cycles_new,overhead_old,overhead_new,ratio
"all",,,,,
"all;ksoftirqd/26",,,,,
"all;ksoftirqd/26;[kernel.vmlinux]",,,,,
"all;fgrep;bash;strcmp@plt",6586054,0,0.0000,0.0000,0.000
"all;fgrep;bash;reserved_word_acceptable",0,6594731,0.0000,0.0000,0.000
"all;fgrep;bash;make_new_variable",0,13420217,0.0000,0.0000,0.000
"all;fgrep;bash;expand_word_internal",0,10388898,0.0000,0.0000,0.000
"all;fgrep;bash;xmalloc",10895521,6534806,0.0000,0.0000,0.600
"all;fgrep;bash;flatten.constprop.0",85016405,40974253,0.0000,0.0000,0.482
"all;fgrep;bash;adjust_shell_level",0,6862989,0.0000,0.0000,0.000
"all;fgrep;bash;shell_getc",6810170,0,0.0000,0.0000,0.000
"all;fgrep;bash;set_default_locale",0,6488050,0.0000,0.0000,0.000
"all;fgrep;bash;fcntl@plt",0,6457391,0.0000,0.0000,0.000
"all;fgrep;bash;get_edit_mode",6853116,0,0.0000,0.0000,0.000
"all;fgrep;bash;hash_search",24093009,27859016,0.0000,0.0000,1.156
"all;fgrep;bash;list_string",6535461,0,0.0000,0.0000,0.000
"all;fgrep;bash;execute_command_internal",0,6969509,0.0000,0.0000,0.000
"all;fgrep;bash;getopts_reset",3667294,0,0.0000,0.0000,0.000
"all;fgrep;bash;xtrace_init",6830673,0,0.0000,0.0000,0.000
"all;fgrep;bash;unquoted_glob_pattern_p",13099626,0,0.0000,0.0000,0.000
"all;fgrep;bash;unbind_variable",0,6344989,0.0000,0.0000,0.000
"all;fgrep;bash;shell_builtin_compare",0,6356035,0.0000,0.0000,0.000
"all;fgrep;bash;initialize_shell_variables",0,6849816,0.0000,0.0000,0.000
