id,cycles,instructions,cache_references,cache_misses,L1_dcache_loads,L1_dcache_load_misses
"all",,,,,,
"all;g4run",,,,,,
"all;g4run;libicuuc.so.71.1",,,,,,
"all;g4run;libG4particles.so;G4NucleiPropertiesTableAME12::GetIndex@plt",2021138567,1969816527,262789854,34818414,1136157714,87542057
"all;g4run;libG4particles.so;G4IonTable::GetNucleusEncoding@plt",587167161,528209419,115102391,11985926,344265453,36989047
"all;g4run;libG4particles.so;G4KaonZeroShort::Definition",17447345,12834017,1785048,1712298,5918716,271955
"all;g4run;libG4particles.so;G4IonTable::GetIon",6159640404,5325936587,1145533407,172028632,3382056743,419094608
"all;g4run;libG4particles.so;operator delete[]@plt",0,0,0,0,4065254,0
"all;g4run;libG4particles.so;pDynamicParticleAllocator@plt",3487851,3389757,650675,0,0,0
"all;g4run;libG4particles.so;G4IonTable::GetNucleusMass",13776279,12587072,1983027,896387,7880068,207492
"all;g4run;libG4particles.so;G4MuonPlus::Definition",13862724,6508693,2894595,1422188,3937661,0
"all;g4run;libG4particles.so;G4PrimaryParticle::~G4PrimaryParticle",0,0,0,0,1975897,0
"all;g4run;libG4particles.so;G4NeutrinoMu::Definition",3489073,9482323,561752,1101129,1925839,0
"all;g4run;libG4particles.so;G4DalitzDecayChannel::DecayIt",3489383,0,0,124021,1967035,0
"all;g4run;libG4particles.so;G4AntiProton::Definition",219508334,90123101,24588134,8569593,118677470,5079866
"all;g4run;libG4particles.so;G4PhaseSpaceDecayChannel::ThreeBodyDecayIt",20799969,3111225,725105,641212,3917260,0
"all;g4run;libG4particles.so;pthread_mutex_lock@plt",0,5771083,0,0,3806320,516015
"all;g4run;libG4particles.so;G4KaonZeroShort::Definition@plt",3489415,0,0,66197,1867664,0
"all;g4run;libG4particles.so;G4NucleiPropertiesTheoreticalTable::IsInTable",3489652,23139738,1917974,74454,17991524,269536
"all;g4run;libG4particles.so;G4MuonDecayChannel::DecayIt",83622172,29855563,8118790,3005887,21819752,3056510
"all;g4run;libG4particles.so;G4KaonZeroLong::Definition@plt",0,0,0,0,0,286401
"all;g4run;libG4particles.so;G4NucleiPropertiesTableAME12::GetBindingEnergy@plt",3489149,0,580963,0,0,0
"all;g4run;libG4particles.so;G4DecayTable::SelectADecayChannel",236722760,138452107,34771126,5373889,86134258,12964607
"all;g4run;libG4particles.so;G4KaonZero::Definition",4942824154,5171944235,604838018,67413965,3165472138,151539407
"all;g4run;libG4particles.so;operator delete@plt",0,0,539189,57487,0,0
"all;g4run;libG4particles.so;G4AntiAlpha::Definition",195107021,198546140,21731752,8402978,71256221,5104869
"all;g4run;libG4particles.so;G4Electron::Definition",17062510287,15881180630,2403387272,349622015,10083615843,620542726
"all;g4run;libG4particles.so;G4Proton::ProtonDefinition",3490697,0,0,0,1859423,0
