cycles_ukP,comm,dso,symbol
249981387,"g4run","libG4processes.so","G4LossTableManager::ResetParameters"
249275464,"g4run","libG4processes.so","G4IntraNucleiCascader::decayTrappedParticle"
248599228,"g4run","libG4geometry.so","G4DisplacedSolid::BoundingLimits"
242285256,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepLorentzRotation::rotateZ"
241774206,"g4run","libG4processes.so","G4GeneralPhaseSpaceDecay::G4GeneralPhaseSpaceDecay"
240201611,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::IsInTable"
238799876,"g4run","libG4processes.so","G4SauterGavrilaAngularDistribution::PrintGeneratorInformation"
237469133,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeNPChannelData, G4PionNucSampler>::getOutgoingParticleTypes"
233926263,"g4run","libG4geometry.so","G4LogicalBorderSurface::DumpInfo"
233221559,"g4run","libG4processes.so","G4LossTableManager::Register"
231815150,"g4run","libG4processes.so","G4IntraNucleiCascader::newCascade"
230523066,"g4run","libG4track.so","G4ParticleChangeForLoss::operator="
229023598,"g4run","libG4geometry.so","std::vector<G4LogicalSkinSurface*, std::allocator<G4LogicalSkinSurface*> >::_M_realloc_insert<G4LogicalSkinSurface*>"
227634163,"g4run","libG4geometry.so","G4SimpleLocator::EstimateIntersectionPoint"
226939076,"g4run","libG4processes.so","G4ChipsProtonElasticXS::GetPTables"
