      12802919    27487871     4631838       87055  libG4geometry.so       [.] G4SmartVoxelHeader::CollectEquivalentNodes
      12774685    24884051     1605096       13984  libG4processes.so      [.] 0x00000000003bdec4
      12219239    16910221     3228194       70770  ld-linux-x86-64.so.2   [.] _dl_lookup_symbol_x
      11947724    31288747     4864314       20937  libxerces-c-3.2.so     [.] xercesc_3_2::XMLPlatformUtils::lockMutex
      11942810    19076689     3338786       27113  libG4persistency.so    [.] G4GDMLReadStructure::VolumeRead
      11917596    13458248     2586086       12482  libG4processes.so      [.] G4WentzelOKandVIxSection::SetupKinematic
      11882626    26819376     6098339       60047  libxerces-c-3.2.so     [.] xercesc_3_2::IGXMLScanner::rawAttrScan
      11875123    21802198     7159261       14390  libxerces-c-3.2.so     [.] xercesc_3_2::XMLReader::handleEOL
      11841024    44243866     6584869       20414  libxerces-c-3.2.so     [.] xercesc_3_2::IGXMLScanner::scanCharData
      11830524    20655874     5548496       18808  libG4geometry.so       [.] G4Trap::CalculateExtent
      11812480    50602542     3515521       30119  libG4geometry.so       [.] G4BoundingEnvelope::FindScaleFactor
      11219679     6096215      541284       11853  [kernel.kallsyms]      [k] _raw_spin_lock
      11106939     3050932     1031465       11919  [kernel.kallsyms]      [k] __next_zones_zonelist
      10983866    27305522     5686031       21855  libstdc++.so.6.0.30    [.] std::operator>><char, std::char_traits<char>, std::allocator<char> >
      10960681     8051863     1151314        4872  libG4processes.so      [.] G4LossTableBuilder::BuildDEDXTable
      10948657    17586006     2701471       28390  libc.so.6              [.] __correctly_grouped_prefixmb
      10924590     6096931     1108018       20517  libG4processes.so      [.] G4EmCorrections::SetupKinematics
      10908119    31520987     7344236       39737  libxerces-c-3.2.so     [.] xercesc_3_2::XMLAttr::setValue
      10886118     7516092     1958046        2632  libG4processes.so      [.] G4LossTableBuilder::BuildInverseRangeTable
      10585153     7512543      885314       22181  libG4geometry.so       [.] G4GeometryWorkspace::InitialisePhysicalVolumes
      10293944    12154218     2097680        3347  libG4processes.so      [.] G4ProcessManager::GetAttribute
      10007155    31477970     2329605        4838  [kernel.kallsyms]      [k] release_pages
       9957904     9640588      815553       15831  libG4geometry.so       [.] std::_Rb_tree<G4String, std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > >, std::_Select1st<std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > >, std::less<G4String>, std::allocator<std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > > >::find
       9957698    15475528     7189108        9135  libG4processes.so      [.] G4NucLevel::G4NucLevel
       9949134    17637190     3621375       15823  libG4persistency.so    [.] G4GDMLEvaluator::SolveBrackets
       9938797    28530718     6889666       43566  libxerces-c-3.2.so     [.] non-virtual thunk to xercesc_3_2::DOMTextImpl::getChildNodeImpl()
       9935871    11274294     4151560       17676  libG4processes.so      [.] G4ICRU73QOModel::GetShellStrength
       9934416    23528585     4968711        4183  libxerces-c-3.2.so     [.] xercesc_3_2::ArrayJanitor<char16_t>::reset
       9930207    13802923      865477       10045  libstdc++.so.6.0.30    [.] 0x00000000000a2160
       9922591    13472210     6529990       14072  libxerces-c-3.2.so     [.] xercesc_3_2::DOMAttrImpl::getValue
       9918750    11421928     1301146       15724  libG4materials.so      [.] G4AtomicShells::GetNumberOfShells
       9918722     5003497     3498239        4838  [kernel.kallsyms]      [k] __mod_zone_page_state
       9918242    34669931     7396371        2120  libstdc++.so.6.0.30    [.] std::basic_ios<char, std::char_traits<char> >::good
       9915158     9278644     3243687        2094  libxerces-c-3.2.so     [.] xercesc_3_2::DOMBuffer::DOMBuffer
       9908940    24484678     2025877       18379  libxerces-c-3.2.so     [.] xercesc_3_2::DOMDocumentImpl::allocate
       9900972    13314052     2985653       50725  libxerces-c-3.2.so     [.] xercesc_3_2::ReaderMgr::skipPastSpaces
       9895754    47271985     4515267       25639  libxerces-c-3.2.so     [.] xercesc_3_2::ReaderMgr::peekNextChar
       9859706     4971721     1178316       23652  libG4geometry.so       [.] G4LogicalVolume::GetSolid
       9821818    22282318     9244872       69706  libG4geometry.so       [.] G4SmartVoxelHeader::RefineNodes
       9735104    11391567     2046951        7035  libc.so.6              [.] __memset_avx2_unaligned_erms
       9732027    12938316      620832         322  [kernel.kallsyms]      [k] do_anonymous_page
       9660184    35535419     4873646       16485  libG4geometry.so       [.] G4GeomTools::CheckSnip
       9515458           0      989470           0  [kernel.kallsyms]      [k] next_uptodate_page
       8972830     2326847     2063446        2910  [kernel.kallsyms]      [k] __mod_node_page_state
       8950057     7032433     1760141       16169  libG4global.so         [.] G4PhysicsLogVector::Initialise
       8893879     4433228     1581600        7621  libxerces-c-3.2.so     [.] 0x000000000013c71f
       8877524    20016195     2769494       31860  libG4geometry.so       [.] G4DisplacedSolid::CalculateExtent
       8872150    14245664     5006649        7204  libG4geometry.so       [.] G4LogicalVolume::SetMaterialCutsCouple
       8079255     5162485       64221        6469  [kernel.kallsyms]      [k] __pagevec_lru_add_fn
       8040656     2155313      733277           0  libG4global.so         [.] G4PhysicsLogVector::~G4PhysicsLogVector
       7974628    24380135     3591733       12818  libstdc++.so.6.0.30    [.] std::locale::id::_M_id
       7968476     6737320     1779870       24637  libG4processes.so      [.] G4LevelReader::ReadDataItem
       7964775           0           0           0  [snd_acp3x_pdm_dma]    [k] acp_pdm_dma_pointer
       7956541     3572079      775074       21030  libc.so.6              [.] __GI___lll_lock_wait
       7941330    10183173     2939666       33564  libG4processes.so      [.] G4EmCorrections::BlochCorrection
       7937113     9095305     3383248        2539  libxerces-c-3.2.so     [.] xercesc_3_2::DOMAttrImpl::getNodeName
       7934079    29536270     5830106       23867  libG4particles.so      [.] G4ParticleTable::FindParticle
       7927089    10157056     2625940       17310  libG4global.so         [.] G4UnitDefinition::GetCategory
       7921356     7665411     3229683        6639  [kernel.kallsyms]      [k] handle_mm_fault
       7913460     3972947      789654        5456  [kernel.kallsyms]      [k] __entry_text_start
       7881103    21586411     5436580       70199  libG4geometry.so       [.] G4SmartVoxelHeader::BuildEquivalentSliceNos
       7878830     7639168     1360908        9485  libG4geometry.so       [.] G4Trap::BoundingLimits
       7730337    15686615     1653654       22108  [kernel.kallsyms]      [k] __handle_mm_fault
       7480833     3377514      491040       40279  [kernel.kallsyms]      [k] futex_wait_setup
       7384556     5150809     1437831       50744  [kernel.kallsyms]      [k] native_write_msr
       6982130     6877691      260285        2321  libG4processes.so      [.] G4eBremsstrahlungRelModel::ComputeCrossSectionPerAtom
       6975142    21488083     1289776        6949  libG4processes.so      [.] G4eBremsstrahlungRelModel::ComputeDEDXPerVolume
       6973770     6139608      764117       36820  libG4processes.so      [.] G4MuPairProductionModel::ComputeCrossSectionPerAtom
       6970027    17818906     3068103       16743  libc.so.6              [.] strtod
       6965476    15860157     2460863        9069  libG4processes.so      [.] G4FermiFragmentsPoolVI::Initialise
       6963891    11029371     3185271       19145  libG4processes.so      [.] G4LevelReader::ReadDataItem
