id,instructions,uops_dispatched,uops_retired,de_dis_uop_queue_empty_di0,de_dis_uops_from_decoder_decoder_dispatched,de_dis_uops_from_decoder_opcache_dispatched
"all",,,,,,
"all;g4run",,,,,,
"all;g4run;libG4event;0x0000000000068e20",0,0,1198677,0,0,0
"all;g4run;libG4event;0x000000000006a422",0,0,1335798,0,0,0
"all;g4run;libG4event;0x0000000000069db3",1067628,0,1137622,118017,0,568665
"all;g4run;libG4event;0x0000000000068e24",16835368,28501485,15637468,3075011,18916338,751075
"all;g4run;libG4event;std::unique_lock<std::mutex>::unlock",632496189,636908742,710554707,29646511,598313057,143907335
"all;g4run;libG4event;0x0000000000069db6",8628712,9951173,11369096,1530486,4166992,277251
"all;g4run;libG4event;0x0000000000068e40",1053408,1296130,1337656,0,938015,283686
"all;g4run;libG4event;0x0000000000068e28",10794821,22926736,17488979,1521300,14673268,999842
"all;g4run;libG4event;0x0000000000068e43",2089074,3827581,6304805,2183439,2292104,2130638
"all;g4run;libG4event;0x0000000000068e44",25019848,38699584,37259423,3207429,32036606,6207718
"all;g4run;libG4event;G4EventManager::ProcessOneEvent",0,0,0,161741,0,0
"all;g4run;libG4event;0x000000000006a49d",2170728,3844527,4812681,808251,5934708,308116
"all;g4run;libG4event;0x0000000000068e46",0,0,0,0,1841664,0
"all;g4run;libG4vis_management",,,,,,
"all;g4run;libG4vis_management;G4VisCommandViewerList::SetNewValue",0,0,0,131519,1697528,0
"all;g4run;libG4track",,,,,,
"all;g4run;libG4track;G4ParticleChangeForMSC::CheckIt",407375637,485117990,460614381,57467885,386361532,130973326
"all;g4run;libG4track;G4ParticleChange::CheckIt",10962542,7570463,6071837,3641095,3332788,2718168
"all;g4run;libG4track;G4ParticleChangeForLoss::G4ParticleChangeForLoss",9131526,8514343,7156280,2421223,6970039,0
