id,cycles,ex_div_busy,ex_div_count
"all;g4run;libG4geometry;G4MultiLevelLocator::EstimateIntersectionPoint",344783296,8887,1438
"all;g4run;libG4geometry;G4VPhysicalVolume::SetRotation@plt",698382,0,0
"all;g4run;libG4geometry;0x000000000018726e",4887935,0,0
"all;g4run;libG4geometry;G4ExtrudedSolid::GetVertex",17444889,0,61
"all;g4run;libG4geometry;G4Tubs::GetEntityType",698405,0,0
"all;g4run;libG4geometry;G4FieldTrack::LoadFromArray",115166545,4761,144
"all;g4run;libG4geometry;G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::Stepper",480933224,20951,2045
"all;g4run;libG4geometry;G4Torus::ApproxSurfaceNormal",697157,0,0
"all;g4run;libG4geometry;0x0000000000103d07",2792117,48,0
"all;g4run;libG4geometry;G4Tubs::G4Tubs",19544128,253,16
"all;g4run;libG4geometry;G4PolyPhiFace::EarInit",194118613,5752,321
"all;g4run;libG4geometry;aNavigHistoryAllocator",379715227,9219,1185
"all;g4run;libG4geometry;G4ReflectedSolid::CreatePolyhedron",2202163551,72557,9310
"all;g4run;libG4geometry;0x0000000000162689",3492010,608,0
"all;g4run;libG4geometry;std::_Rb_tree_decrement@plt",16051507,534,0
"all;g4run;libG4geometry;G4MagErrorStepper::DistChord",698513,0,150
"all;g4run;libG4geometry;G4UniformElectricField::G4UniformElectricField@plt",9073485,543,47
"all;g4run;libG4geometry;0x0000000000160c48",10470725,462,89
