cycles_ukP,comm,dso,symbol
222048034,"g4run","libG4processes.so","G4PEEffectFluoModel::G4PEEffectFluoModel"
217430358,"g4run","libm.so.6","__ieee754_exp_fma"
215769303,"g4run","libG4processes.so","G4NeutronElasticXS::G4NeutronElasticXS"
215078217,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeNNChannelData, G4PionNucSampler>::getOutgoingParticleTypes"
215071187,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeParametrizedXSectionPerAtom"
214363666,"g4run","libG4processes.so","std::vector<std::vector<unsigned long, std::allocator<unsigned long> >, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >::_M_realloc_insert<std::vector<unsigned long, std::allocator<unsigned long> > const&>"
212291402,"g4run","libG4geometry.so","field_utils::absoluteError"
212283703,"g4run","libG4geometry.so","G4NormalNavigation::LevelLocate"
210880875,"g4run","libG4tracking.so","0x000000000002f7fb"
209490807,"g4run","libG4processes.so","G4IntraNucleiCascader::newCascade"
209474305,"g4run","libG4event.so","std::unique_lock<std::mutex>::unlock"
208791704,"g4run","libG4processes.so","G4PAIySection::G4PAIySection"
208791327,"g4run","libG4track.so","G4Step::GetSecondaryInCurrentStep"
208789685,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeNPChannelData, G4PionNucSampler>::getOutgoingParticleTypes"
207394363,"g4run","libG4processes.so","G4IntraNucleiCascader::preloadCascade"
206288394,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadePPChannelData, G4PionNucSampler>::getOutgoingParticleTypes"
205291476,"g4run","libG4particles.so","0x0000000000081316"
204539627,"g4run","libG4geometry.so","G4PolyconeSide::DistanceAway"
203197716,"g4run","libG4event.so","0x000000000006a4a7"
202498088,"g4run","libG4particles.so","G4DynamicParticle::AllocateElectronOccupancy"
201973543,"g4run","libG4processes.so","G4RKPropagation::delete_EquationsAndMap"
199111641,"g4run","libG4global.so","G4PhysicsVector::Retrieve"
199008582,"g4run","libG4processes.so","G4LossTableManager::ResetParameters"
198311479,"g4run","libG4processes.so","G4NucleiModel::zoneIntegralWoodsSaxon"
195525132,"g4run","libG4tracking.so","G4UserSteppingAction::UserSteppingAction"
194143447,"g4run","libG4track.so","std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>"
194122343,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::IsInTable"
193429629,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
192038348,"g4run","libG4geometry.so","G4MagneticField::G4MagneticField"
192023976,"g4run","libG4geometry.so","G4Navigator::CheckOverlapsIterative"
