id,cycles,ex_ret_brn,ex_ret_brn_misp,ex_ret_brn_tkn,ex_ret_brn_tkn_misp,ex_ret_brn_far
"all;g4run;libG4geometry;G4PolyhedraSide::PhiSegment@plt",140240988,36498663,389105,23005977,219774,2393
"all;g4run;libG4geometry;memcpy@plt",4189438,2689648,23215,1328051,17135,117
"all;g4run;libG4geometry;G4IntersectingCone::HitOn",318874692,89213790,1454205,57320446,684399,6704
"all;g4run;libG4geometry;G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::DistChord",696078491,154740281,1945536,100945752,1295809,8845
"all;g4run;libG4geometry;G4PolyhedraSide::PhiSegment",5531002171,1563647704,18340903,989802399,11525311,85395
"all;g4run;libG4geometry;G4Polycone::Inside",365560506,80847603,1119970,53426071,663853,5714
"all;g4run;libG4geometry;G4PolyconeSide::Distance",5080749747,1240980373,14884072,780988975,8147237,80199
"all;g4run;libG4geometry;G4VoxelNavigation::ComputeVoxelSafety@plt",5583325,1548317,43755,1263398,26610,117
"all;g4run;libG4geometry;G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::QuickAdvance",465981310,126035471,1093668,81592180,757031,6759
"all;g4run;libG4geometry;G4NavigationLevel::G4NavigationLevel",694493,0,0,131296,1025,19
"all;g4run;libG4geometry;G4VCSGfaceted::DistanceToIn@plt",65573805,16955009,227132,7671516,139590,1144
"all;g4run;libG4geometry;std::__introsort_loop<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, long, __gnu_cxx::__ops::_Iter_less_iter>",697113,0,0,0,0,0
"all;g4run;libG4geometry;G4NavigationHistory::NewLevel@plt",4185512,369584,6228,125873,6991,19
"all;g4run;libG4geometry;G4PolyhedraSide::DistanceAway@plt",25814476,7451524,107841,4170237,70910,659
"all;g4run;libG4geometry;G4VoxelSafety::SafetyForVoxelNode@plt",698441,153111,0,0,1092,0
"all;g4run;libG4geometry;G4FieldTrack::G4FieldTrack@plt",7677196,1603807,8413,991851,9531,78
"all;g4run;libG4geometry;G4VPhysicalVolume::GetRotation@plt",16041844,2975604,29948,2380244,26667,200
"all;g4run;libG4geometry;G4VIntersectionLocator::GetSurfaceNormal",53021102,14188592,133958,8229228,94652,792
"all;g4run;libG4geometry;G4PolyhedraSide::ClosestPhiSegment",1294111959,338190608,4187301,232711399,2747900,19195
"all;g4run;libG4geometry;G4PolyPhiFace::InsideEdges",8604432433,2354955035,29165897,1533400291,18186389,130768
"all;g4run;libG4geometry;G4Navigator::GetMotherToDaughterTransform@plt",698416,157885,0,0,0,0
"all;g4run;libG4geometry;G4VoxelNavigation::LocateNextVoxel@plt",2088062,984699,13253,104712,11344,115
"all;g4run;libG4geometry;G4SubtractionSolid::Inside",1686949250,468508837,5434759,299858085,3650094,28061
"all;g4run;libG4geometry;G4PropagatorInField::GimmeTrajectoryVectorAndForgetIt",118626917,32016900,417617,19878065,255375,1993
