id,cycles,instructions,ic_fetch_stall_ic_stall_any,ic_fetch_stall_ic_stall_dq_empty,ic_fetch_stall_ic_stall_back_pressure,ic_cache_fill_sys
"all;g4run;libG4event;0x0000000000069d83",2792013,3018921,366757,88440,390160,109268
"all;g4run;libG4event;0x0000000000069dac",5580035,11852215,4014238,116723,649567,108833
"all;g4run;libG4event;0x000000000006a41d",15347917,18294508,10988636,244010,3716541,360643
"all;g4run;libG4event;G4GeneralParticleSourceMessenger::SetNewValue",5579375,7800555,2515410,124889,805770,43154
"all;g4run;libG4event;0x0000000000069d87",39765852,54792853,26189590,1126726,8200432,1289777
"all;g4run;libG4event;0x0000000000068e3c",1393071,3968389,1809739,82918,522427,52745
"all;g4run;libG4event;0x000000000006a400",694558,5148863,716112,59214,126152,37316
"all;g4run;libG4event;0x000000000006a404",0,978437,346791,69710,382408,46633
"all;g4run;libG4event;0x0000000000068d83",13257250,22974777,8772721,321254,2459030,157845
"all;g4run;libG4event;G4SPSRandomGenerator::GenRandPosTheta@plt",0,0,707411,31792,0,20989
"all;g4run;libG4event;0x000000000006a420",698263,0,0,0,0,0
"all;g4run;libG4event;G4IonTable::GetIon@plt",27211300,51522646,17612338,561607,5298983,334909
"all;g4run;libG4event;0x000000000006a422",698269,0,0,20377,0,9220
"all;g4run;libG4event;0x0000000000069db3",1396880,0,683939,0,0,31681
"all;g4run;libG4event;0x0000000000068e24",21622016,37143128,12758999,537290,4421908,456616
"all;g4run;libG4event;std::unique_lock<std::mutex>::unlock",371901678,634976489,200576454,2057521,117300770,2073542
"all;g4run;libG4event;0x000000000006a427",0,2091513,347849,0,0,0
"all;g4run;libG4event;0x0000000000069db6",4888484,981783,2207135,123686,719137,146954
"all;g4run;libG4event;0x0000000000068e40",698421,0,729303,46745,174771,20476
"all;g4run;libG4event;0x0000000000068e28",20215897,22945084,11307837,327580,2868940,259514
"all;g4run;libG4event;0x0000000000068e43",1396845,1096558,336195,14288,113893,40864
"all;g4run;libG4event;0x0000000000068e44",24423824,40968490,13486343,388509,5019180,244574
"all;g4run;libG4event;G4EventManager::ProcessOneEvent",698300,0,759990,21008,574718,36898
"all;g4run;libG4event;0x000000000006a49d",6975328,7996072,2557803,73776,1540242,135865
"all;g4run;libG4event;0x0000000000068e46",0,0,704196,0,0,6667
"all;g4run;libstdc++",,,,,,
"all;g4run;libstdc++;std::__use_cache<std::__numpunct_cache<char> >::operator()",0,0,0,13048,0,16703
"all;g4run;libstdc++;operator new[]",0,0,0,31894,0,13609
"all;g4run;libstdc++;operator delete@plt",698445,3119635,754756,223136,452051,318601
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_assign",1396769,0,366318,83969,189987,21996
"all;g4run;libstdc++;free@plt",2092137,1046394,779083,68671,0,57740
"all;g4run;libstdc++;__cxxabiv1::__si_class_type_info::__do_dyncast",981644186,1252471602,493432900,90178817,74538523,12845051
"all;g4run;libstdc++;std::_Rb_tree_decrement",0,0,719769,0,153684,0
"all;g4run;libstdc++;malloc@plt",3487936,3228162,741779,94742,933623,81193
"all;g4run;libstdc++;std::locale::facet::_S_get_c_locale",0,0,0,12992,0,3741
"all;g4run;libstdc++;std::__num_base::_S_format_float",0,0,0,55334,0,8617
"all;g4run;libstdc++;strcmp@plt",2793504,4648231,357892,311868,116187,156080
"all;g4run;libstdc++;memcpy@plt",0,0,0,0,0,7065
"all;g4run;libstdc++;std::ostream::_M_insert<long>",0,0,0,22547,0,0
"all;g4run;libstdc++;std::__cxx11::basic_stringbuf<char, std::char_traits<char>, std::allocator<char> >::_M_sync",0,0,0,27854,0,0
"all;g4run;libstdc++;std::use_facet<std::ctype<char> >",698346,0,0,13812,0,0
"all;g4run;libstdc++;__cxxabiv1::__vmi_class_type_info::__do_dyncast",0,0,0,0,0,7995
"all;g4run;libstdc++;std::basic_streambuf<char, std::char_traits<char> >::xsputn",0,0,0,20131,0,0
